tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
363.00;36897741#0_1;60.96;10.62;157.00;7.00;167456697_1;1.95;0.00;tripinfo_MotorCycle_1153;206.00;MotorCycle_1153;0;384.21;1.22;0.00;182.41;MotorCycle;;5;97.00
364.00;335563875#0_1;147.10;13.27;29.00;8.00;36907357#1_1;1.95;0.00;tripinfo_Auto_177;335.00;Auto_177;0;1797.73;1.03;0.00;207.50;MotorCycle;;7;72.00
365.00;-37555829#0_1;633.17;12.64;24.00;12.00;166751738#1_1;10.20;0.00;tripinfo_Auto_99;341.00;Auto_99;0;1631.27;1.10;0.00;230.65;Bus;;2;139.00
365.00;335563875#0_1;147.10;13.21;33.00;8.00;36907357#1_1;2.70;0.00;tripinfo_Car_212;332.00;Car_212;0;1796.98;1.00;0.00;201.77;Auto;;7;67.00
365.00;36897741#0_1;60.96;9.50;160.00;10.00;167456697_1;3.70;0.00;tripinfo_MotorCycle_1154;205.00;MotorCycle_1154;0;382.46;1.07;0.00;178.20;Car;;5;96.00
366.00;167457326_1;304.94;13.20;176.00;45.00;317766697#1_1;1.95;0.00;tripinfo_Auto_1004;190.00;Auto_1004;0;501.01;0.96;0.00;151.31;MotorCycle;;6;77.00
366.00;317371668#1_1;150.53;12.68;343.00;4.00;317371668#1_1;3.70;0.00;tripinfo_Car_2590;23.00;Car_2590;0;146.83;0.94;0.00;11.59;Car;;0;0.00
367.00;-37555829#0_1;633.17;13.42;28.00;5.00;166751738#1_1;2.70;0.00;tripinfo_MotorCycle_198;339.00;MotorCycle_198;0;1638.77;1.06;0.00;224.73;Auto;;2;137.00
368.00;-37555829#0_1;633.17;13.20;35.00;11.00;166751738#1_1;10.20;0.00;tripinfo_Auto_208;333.00;Auto_208;0;1631.27;0.96;0.00;207.27;Bus;;3;123.00
368.00;167457326_1;304.94;12.78;179.00;46.00;317766697#1_1;1.95;0.00;tripinfo_Car_1023;189.00;Car_1023;0;501.01;0.92;0.00;149.59;MotorCycle;;6;78.00
368.00;36897741#0_1;60.96;9.50;164.00;13.00;167456697_1;2.70;0.00;tripinfo_Car_1163;204.00;Car_1163;0;383.46;0.96;0.00;174.14;Auto;;4;94.00
369.00;173008341#6_1;117.82;13.57;115.00;13.00;330925771#2_1;2.70;0.00;tripinfo_Bus_792;254.00;Bus_792;0;1758.16;0.99;0.00;124.12;Auto;;4;54.00
370.00;-37555829#0_1;633.17;14.12;38.00;11.00;166751738#1_1;1.95;0.00;tripinfo_Auto_221;332.00;Auto_221;0;1639.52;1.15;0.00;226.23;MotorCycle;;3;122.00
370.00;167457326_1;304.94;12.87;182.00;46.00;317766697#1_1;3.70;0.00;tripinfo_Bus_1049;188.00;Bus_1049;0;499.26;0.95;0.00;149.17;Car;;7;73.00
370.00;317371668#1_1;150.53;12.85;346.00;5.00;317371668#1_1;2.70;0.00;tripinfo_Bus_2610;24.00;Bus_2610;0;147.83;1.04;0.00;13.18;Auto;;1;1.00
371.00;-37555829#0_1;633.17;13.85;42.00;14.00;166751738#1_1;2.70;0.00;tripinfo_Auto_227;329.00;Auto_227;0;1638.77;1.11;0.00;219.93;Auto;;3;118.00
371.00;317371668#1_1;150.53;12.34;350.00;9.00;317371668#1_1;1.95;0.00;tripinfo_Bus_2611;21.00;Bus_2611;0;148.58;0.90;0.00;9.13;MotorCycle;;0;0.00
373.00;-37555829#0_1;633.17;12.46;46.00;17.00;166751738#1_1;2.70;0.00;tripinfo_Auto_234;327.00;Auto_234;0;1638.77;0.91;0.00;193.75;Auto;;3;115.00
374.00;-37555829#0_1;633.17;12.97;49.00;20.00;166751738#1_1;1.95;0.00;tripinfo_Auto_235;325.00;Auto_235;0;1639.52;0.96;0.00;199.04;MotorCycle;;3;114.00
375.00;-36907635#0_1;285.07;14.17;18.00;10.00;324991740#4_1;10.20;0.00;tripinfo_Bus_58;357.00;Bus_58;0;1734.25;1.02;0.00;233.91;Bus;;3;152.00
