tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
384.00;36897741#0_1;60.96;10.30;179.00;21.00;167456697_1;2.70;0.00;tripinfo_Bus_1211;205.00;Bus_1211;0;383.46;0.99;0.00;175.72;Auto;;8;75.00
384.00;317371668#1_1;150.53;12.47;361.00;0.00;317371668#1_1;2.70;0.00;tripinfo_MotorCycle_2744;23.00;MotorCycle_2744;0;147.83;0.99;0.00;11.90;Auto;;0;0.00
385.00;-37555829#0_1;633.17;13.41;72.00;33.00;166751738#1_1;3.70;0.00;tripinfo_MotorCycle_307;313.00;MotorCycle_307;0;1637.77;0.99;0.00;190.22;Car;;5;83.00
385.00;173008341#6_1;117.82;13.35;77.00;1.00;330925771#2_1;2.70;0.00;tripinfo_Auto_572;308.00;Auto_572;0;1758.16;1.06;0.00;187.67;Auto;;5;107.00
385.00;167457326_1;304.94;14.41;199.00;46.00;317766697#1_1;2.70;0.00;tripinfo_Auto_1175;186.00;Auto_1175;0;500.26;1.10;0.00;152.47;Auto;;5;71.00
385.00;36897741#0_1;60.96;9.66;182.00;23.00;167456697_1;2.70;0.00;tripinfo_MotorCycle_1220;203.00;MotorCycle_1220;0;383.46;0.89;0.00;170.87;Auto;;8;77.00
386.00;335564510#0_1;141.66;15.25;12.00;2.00;167186112#0_1;1.95;0.00;tripinfo_MotorCycle_84;374.00;MotorCycle_84;0;1515.64;1.15;0.00;274.42;MotorCycle;;8;148.00
386.00;-37555829#0_1;633.17;13.39;75.00;21.00;166751738#1_1;2.70;0.00;tripinfo_Bus_410;311.00;Bus_410;0;1638.77;1.10;0.00;201.40;Auto;;6;80.00
386.00;167457326_1;304.94;14.28;202.00;45.00;317766697#1_1;2.70;0.00;tripinfo_Auto_1200;184.00;Auto_1200;0;500.26;1.14;0.00;151.81;Auto;;4;69.00
387.00;-36907357#1_1;86.83;12.22;24.00;2.00;167462465_1;1.95;0.00;tripinfo_MotorCycle_183;363.00;MotorCycle_183;0;1941.52;1.08;0.00;233.52;MotorCycle;;7;105.00
387.00;173008341#6_1;117.82;13.65;80.00;3.00;330925771#2_1;2.70;0.00;tripinfo_Auto_583;307.00;Auto_583;0;1758.16;1.07;0.00;187.14;Auto;;5;101.00
387.00;167457326_1;304.94;13.53;205.00;48.00;317766697#1_1;1.95;0.00;tripinfo_Auto_1201;182.00;Auto_1201;0;501.01;1.00;0.00;145.85;MotorCycle;;4;68.00
388.00;-37555829#0_1;633.17;12.72;81.00;26.00;166751738#1_1;10.20;0.00;tripinfo_MotorCycle_418;307.00;MotorCycle_418;0;1631.27;0.92;0.00;176.54;Bus;;6;70.00
388.00;173008341#6_1;117.82;13.73;84.00;7.00;330925771#2_1;1.95;0.00;tripinfo_Auto_584;304.00;Auto_584;0;1758.91;1.12;0.00;189.61;MotorCycle;;4;109.00
389.00;335564510#0_1;141.66;13.27;10.00;0.00;167186112#0_1;2.70;0.00;tripinfo_MotorCycle_83;379.00;MotorCycle_83;0;1514.89;0.97;0.00;262.88;Auto;;5;153.00
390.00;167461557#1_1;85.64;14.74;14.00;1.00;167584711#0_1;3.70;0.00;tripinfo_Car_105;376.00;Car_105;0;1618.86;1.07;0.00;266.91;Car;;8;169.00
390.00;-36907357#1_1;86.83;12.18;38.00;4.00;167462465_1;3.70;0.00;tripinfo_Bus_261;352.00;Bus_261;0;1939.77;1.13;0.00;227.93;Car;;8;98.00
390.00;-37555829#0_1;633.17;13.73;85.00;30.00;166751738#1_1;3.70;0.00;tripinfo_MotorCycle_419;305.00;MotorCycle_419;0;1637.77;1.03;0.00;188.05;Car;;6;74.00
391.00;-37555829#0_1;633.17;13.49;89.00;29.00;166751738#1_1;2.70;0.00;tripinfo_Auto_447;302.00;Auto_447;0;1638.77;1.20;0.00;196.98;Auto;;6;70.00
394.00;167461557#1_1;85.64;12.94;18.00;1.00;167584711#0_1;3.70;0.00;tripinfo_Auto_142;376.00;Auto_142;0;1618.86;0.94;0.00;251.51;Car;;7;159.00
395.00;-167186112#2_1;110.93;11.48;1.00;0.00;-167589230#4_1;1.95;0.00;tripinfo_MotorCycle_12;394.00;MotorCycle_12;0;1495.63;1.05;0.00;282.05;MotorCycle;;4;217.00
396.00;335563875#0_1;147.10;12.73;62.00;8.00;36907357#1_1;2.70;0.00;tripinfo_Bus_406;334.00;Bus_406;0;1796.98;0.96;0.00;197.75;Auto;;7;78.00
397.00;-166800604#5_1;282.77;15.85;2.00;0.00;-167456093_1;1.95;0.00;tripinfo_MotorCycle_19;395.00;MotorCycle_19;0;3005.86;1.16;0.00;206.50;MotorCycle;;8;87.00
397.00;-167186112#2_1;110.93;12.13;4.00;1.00;-167589230#4_1;1.95;0.00;tripinfo_Bus_34;393.00;Bus_34;0;1495.63;0.99;0.00;274.44;MotorCycle;;4;209.00
398.00;-167186112#2_1;110.93;12.15;8.00;0.00;-167589230#4_1;1.95;0.00;tripinfo_Auto_63;390.00;Auto_63;0;1495.63;0.99;0.00;270.84;MotorCycle;;5;201.00
400.00;-36907635#0_1;285.07;13.12;21.00;13.00;324991740#4_1;1.95;0.00;tripinfo_Bus_59;379.00;Bus_59;0;1742.50;0.97;0.00;247.86;MotorCycle;;4;173.00
402.00;-166800604#5_1;282.77;15.01;6.00;0.00;-167456093_1;2.70;0.00;tripinfo_Car_53;396.00;Car_53;0;3005.11;1.10;0.00;196.91;Auto;;5;67.00
402.00;331667964#4_1;46.11;8.00;181.00;2.00;37571582#0_1;2.70;0.00;tripinfo_MotorCycle_1362;221.00;MotorCycle_1362;0;558.95;1.05;0.00;182.46;Auto;;8;78.00
403.00;244327260#6_0;209.72;12.46;26.00;15.00;244329796#13_1;1.95;0.00;tripinfo_MotorCycle_93;377.00;MotorCycle_93;0;1539.77;0.92;0.00;256.20;MotorCycle;;7;159.00
403.00;36897741#0_1;60.96;9.60;186.00;27.00;167456697_1;3.70;0.00;tripinfo_MotorCycle_1221;217.00;MotorCycle_1221;0;382.46;0.97;0.00;187.43;Car;;8;81.00
403.00;317371668#1_1;150.53;12.40;379.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Auto_2882;24.00;Auto_2882;0;147.83;1.01;0.00;12.84;Auto;;0;0.00
405.00;244327260#6_0;209.72;14.85;30.00;19.00;244329796#13_1;3.70;0.00;tripinfo_MotorCycle_94;375.00;MotorCycle_94;0;1538.02;1.09;0.00;273.07;Car;;7;159.00
405.00;36897741#0_1;60.96;10.19;189.00;29.00;167456697_1;1.95;0.00;tripinfo_Car_1232;216.00;Car_1232;0;384.21;1.01;0.00;187.37;MotorCycle;;7;80.00
405.00;317371668#1_1;150.53;12.34;383.00;4.00;317371668#1_1;3.70;0.00;tripinfo_Auto_2883;22.00;Auto_2883;0;146.83;0.91;0.00;9.43;Car;;0;0.00
406.00;331667964#4_1;46.11;7.65;188.00;5.00;37571582#0_1;10.20;0.00;tripinfo_MotorCycle_1400;218.00;MotorCycle_1400;0;551.45;1.07;0.00;180.93;Bus;;7;68.00
410.00;167457326_1;304.94;14.84;209.00;46.00;317766697#1_1;3.70;0.00;tripinfo_MotorCycle_1245;201.00;MotorCycle_1245;0;499.26;1.10;0.00;167.83;Car;;5;81.00
412.00;167457326_1;304.94;15.40;213.00;48.00;317766697#1_1;3.70;0.00;tripinfo_Auto_1260;199.00;Auto_1260;0;499.26;1.13;0.00;166.62;Car;;6;78.00
