tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
217.00;36897741#0_1;60.96;11.07;53.00;13.00;167456697_1;1.95;0.00;tripinfo_Bus_320;164.00;Bus_320;0;384.21;1.16;0.00;138.56;MotorCycle;;1;104.00
217.00;317371668#1_1;150.53;11.15;192.00;8.00;317371668#1_1;10.20;0.00;tripinfo_Auto_1406;25.00;Auto_1406;0;140.33;1.02;0.00;14.99;Bus;;0;0.00
219.00;36897741#0_1;60.96;10.27;57.00;17.00;167456697_1;3.70;0.00;tripinfo_Bus_321;162.00;Bus_321;0;382.46;0.87;0.00;128.80;Car;;1;100.00
219.00;317371668#1_1;150.53;12.20;196.00;12.00;317371668#1_1;3.70;0.00;tripinfo_Auto_1407;23.00;Auto_1407;0;146.83;1.24;0.00;14.33;Car;;1;1.00
220.00;36897741#0_1;60.96;9.85;60.00;16.00;167456697_1;2.70;0.00;tripinfo_Bus_350;160.00;Bus_350;0;383.46;1.02;0.00;131.51;Auto;;1;98.00
221.00;317371668#1_1;150.53;12.62;199.00;7.00;317371668#1_1;1.95;0.00;tripinfo_Auto_1464;22.00;Auto_1464;0;148.58;0.97;0.00;10.55;MotorCycle;;0;0.00
222.00;36897741#0_1;60.96;10.25;64.00;12.00;167456697_1;2.70;0.00;tripinfo_MotorCycle_391;158.00;MotorCycle_391;0;383.46;1.11;0.00;131.93;Auto;;1;97.00
223.00;317371668#1_1;150.53;14.43;202.00;3.00;317371668#1_1;1.95;0.00;tripinfo_Auto_1508;21.00;Auto_1508;0;148.58;1.06;0.00;10.66;MotorCycle;;0;0.00
225.00;36897741#0_1;60.96;10.94;67.00;15.00;167456697_1;1.95;0.00;tripinfo_MotorCycle_392;158.00;MotorCycle_392;0;384.21;1.00;0.00;128.31;MotorCycle;;1;95.00
226.00;36897741#0_1;60.96;9.94;70.00;17.00;167456697_1;2.70;0.00;tripinfo_MotorCycle_400;156.00;MotorCycle_400;0;383.46;0.98;0.00;126.24;Auto;;1;92.00
