tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
498.00;-324991740#4_1;235.73;14.98;8.00;0.00;36907635#0_1;2.70;0.00;tripinfo_Auto_60;490.00;Auto_60;0;1739.76;1.08;0.00;372.33;Auto;;3;303.00
498.00;173008341#6_1;117.82;12.92;74.00;0.00;330925771#2_1;1.95;0.00;tripinfo_Bus_557;424.00;Bus_557;0;1758.91;0.96;0.00;290.52;MotorCycle;;3;213.00
499.00;-324991740#4_1;235.73;15.24;12.00;4.00;36907635#0_1;3.70;0.00;tripinfo_Auto_61;487.00;Auto_61;0;1738.76;1.12;0.00;373.61;Car;;4;299.00
499.00;173008341#6_1;117.82;12.04;16.00;5.00;330925771#2_1;1.95;0.00;tripinfo_Auto_91;483.00;Auto_91;0;1758.91;0.89;0.00;339.26;MotorCycle;;6;270.00
499.00;317371668#1_1;150.53;11.25;474.00;27.00;317371668#1_1;10.20;0.00;tripinfo_Bus_3429;25.00;Bus_3429;0;140.33;1.00;0.00;14.32;Bus;;0;0.00
500.00;-167186112#0_1;81.80;13.18;3.00;1.00;167461555_1;1.95;0.00;tripinfo_MotorCycle_22;497.00;MotorCycle_22;0;1631.17;0.98;0.00;371.56;MotorCycle;;3;310.00
500.00;173008341#6_1;117.82;12.98;19.00;7.00;330925771#2_1;2.70;0.00;tripinfo_Car_98;481.00;Car_98;0;1758.16;1.12;0.00;366.67;Auto;;6;266.00
500.00;331667964#4_1;46.11;14.05;66.00;2.00;37571582#0_1;2.70;0.00;tripinfo_Auto_480;434.00;Auto_480;0;558.95;1.03;0.00;394.33;Auto;;3;330.00
501.00;-167186112#0_1;81.80;12.18;9.00;0.00;167461555_1;1.95;0.00;tripinfo_MotorCycle_66;492.00;MotorCycle_66;0;1631.17;0.91;0.00;357.66;MotorCycle;;2;296.00
501.00;-324991740#4_1;235.73;14.73;15.00;1.00;36907635#0_1;1.95;0.00;tripinfo_Auto_119;486.00;Auto_119;0;1740.51;1.07;0.00;367.59;MotorCycle;;5;294.00
