tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
319.00;-36907357#1_1;86.83;10.98;24.00;2.00;167462465_1;1.95;0.00;tripinfo_MotorCycle_183;295.00;MotorCycle_183;0;1941.52;1.08;0.00;165.12;MotorCycle;;6;60.00
320.00;167457326_1;304.94;10.23;133.00;20.00;317766697#1_1;1.95;0.00;tripinfo_Auto_867;187.00;Auto_867;0;501.01;0.75;0.00;139.06;MotorCycle;;6;73.00
321.00;36897741#0_1;60.96;9.50;133.00;32.00;167456697_1;2.70;0.00;tripinfo_Car_783;188.00;Car_783;0;383.46;0.88;0.00;155.17;Auto;;5;95.00
322.00;167589230#4_1;143.24;9.85;38.00;1.00;167584430#0_1;10.20;0.00;tripinfo_MotorCycle_287;284.00;MotorCycle_287;0;1976.04;0.89;0.00;113.60;Bus;;3;54.00
322.00;36897741#0_1;60.96;8.92;136.00;22.00;167456697_1;1.95;0.00;tripinfo_MotorCycle_881;186.00;MotorCycle_881;0;384.21;0.96;0.00;156.24;MotorCycle;;4;93.00
322.00;167457326_1;304.94;11.50;137.00;23.00;317766697#1_1;2.70;0.00;tripinfo_Bus_882;185.00;Bus_882;0;500.26;1.27;0.00;153.14;Auto;;6;71.00
322.00;331667964#4_1;46.11;7.84;143.00;12.00;37571582#0_1;10.20;0.00;tripinfo_Car_1005;179.00;Car_1005;0;551.45;0.90;0.00;134.65;Bus;;3;63.00
324.00;36897741#0_1;60.96;10.25;139.00;15.00;167456697_1;1.95;0.00;tripinfo_MotorCycle_956;185.00;MotorCycle_956;0;384.21;0.98;0.00;155.18;MotorCycle;;4;92.00
324.00;331667964#4_1;46.11;8.25;146.00;15.00;37571582#0_1;1.95;0.00;tripinfo_Car_1006;178.00;Car_1006;0;559.70;0.90;0.00;133.06;MotorCycle;;6;59.00
324.00;317371668#1_1;150.53;11.27;299.00;8.00;317371668#1_1;10.20;0.00;tripinfo_Car_2241;25.00;Car_2241;0;140.33;0.89;0.00;12.85;Bus;;0;0.00
325.00;36897741#0_1;60.96;10.26;141.00;13.00;167456697_1;1.95;0.00;tripinfo_Auto_985;184.00;Auto_985;0;384.21;1.03;0.00;156.30;MotorCycle;;4;90.00
326.00;331667964#4_1;46.11;9.16;151.00;20.00;37571582#0_1;3.70;0.00;tripinfo_Car_1007;175.00;Car_1007;0;557.95;0.78;0.00;122.70;Car;;5;56.00
326.00;317371668#1_1;150.53;12.51;302.00;5.00;317371668#1_1;2.70;0.00;tripinfo_Auto_2283;24.00;Auto_2283;0;147.83;1.03;0.00;13.13;Auto;;1;1.00
327.00;167584712_1;145.02;11.71;19.00;0.00;-358333263#1_1;10.20;0.00;tripinfo_MotorCycle_164;308.00;MotorCycle_164;0;1996.66;1.05;0.00;172.24;Bus;;4;89.00
327.00;167457326_1;304.94;13.78;140.00;25.00;317766697#1_1;2.70;0.00;tripinfo_Car_884;187.00;Car_884;0;500.26;1.01;0.00;151.25;Auto;;6;70.00
328.00;-36907635#0_1;285.07;12.47;7.00;3.00;324991740#4_1;2.70;0.00;tripinfo_MotorCycle_39;321.00;MotorCycle_39;0;1741.75;0.90;0.00;179.77;Auto;;4;109.00
328.00;36897741#0_1;60.96;9.94;144.00;10.00;167456697_1;2.70;0.00;tripinfo_MotorCycle_1029;184.00;MotorCycle_1029;0;383.46;0.99;0.00;154.23;Auto;;5;87.00
329.00;-36907635#0_1;285.07;12.95;11.00;7.00;324991740#4_1;3.70;0.00;tripinfo_MotorCycle_40;318.00;MotorCycle_40;0;1740.75;1.03;0.00;194.84;Car;;4;108.00
329.00;167457326_1;304.94;15.27;143.00;28.00;317766697#1_1;1.95;0.00;tripinfo_Car_885;186.00;Car_885;0;501.01;1.14;0.00;153.97;MotorCycle;;6;69.00
329.00;317371668#1_1;150.53;13.25;306.00;9.00;317371668#1_1;3.70;0.00;tripinfo_Auto_2284;23.00;Auto_2284;0;146.83;1.06;0.00;12.65;Car;;1;1.00
330.00;36897741#0_1;60.96;10.67;149.00;4.00;167456697_1;3.70;0.00;tripinfo_Car_1117;181.00;Car_1117;0;382.46;0.96;0.00;150.19;Car;;6;88.00
332.00;173008341#6_1;117.82;13.82;64.00;1.00;330925771#2_1;1.95;0.00;tripinfo_Car_467;268.00;Car_467;0;1758.91;1.00;0.00;139.49;MotorCycle;;5;61.00
332.00;36897741#0_1;60.96;9.47;152.00;2.00;167456697_1;2.70;0.00;tripinfo_MotorCycle_1152;180.00;MotorCycle_1152;0;383.46;0.85;0.00;145.58;Auto;;5;84.00
333.00;173008341#6_1;117.82;14.25;44.00;2.00;330925771#2_1;3.70;0.00;tripinfo_MotorCycle_336;289.00;MotorCycle_336;0;1757.16;1.16;0.00;179.05;Car;;7;67.00
334.00;36897741#0_1;60.96;10.88;155.00;5.00;167456697_1;1.95;0.00;tripinfo_MotorCycle_1153;179.00;MotorCycle_1153;0;384.21;1.22;0.00;154.80;MotorCycle;;5;86.00
335.00;36897741#0_1;60.96;9.74;159.00;9.00;167456697_1;3.70;0.00;tripinfo_MotorCycle_1154;176.00;MotorCycle_1154;0;382.46;1.07;0.00;149.18;Car;;6;84.00
335.00;317371668#1_1;150.53;13.01;310.00;12.00;317371668#1_1;2.70;0.00;tripinfo_Auto_2293;25.00;Auto_2293;0;147.83;0.96;0.00;13.06;Auto;;0;0.00
336.00;317371668#1_1;150.53;13.73;314.00;16.00;317371668#1_1;3.70;0.00;tripinfo_Auto_2294;22.00;Auto_2294;0;146.83;1.05;0.00;11.50;Car;;1;1.00
337.00;36897741#0_1;60.96;9.53;162.00;11.00;167456697_1;2.70;0.00;tripinfo_Car_1163;175.00;Car_1163;0;383.46;0.96;0.00;144.99;Auto;;4;81.00
339.00;244327260#6_0;209.72;13.30;33.00;21.00;244329796#13_1;2.70;0.00;tripinfo_MotorCycle_102;306.00;MotorCycle_102;0;1539.02;0.97;0.00;190.95;Auto;;6;90.00
339.00;36897741#0_1;60.96;9.89;165.00;14.00;167456697_1;1.95;0.00;tripinfo_Car_1164;174.00;Car_1164;0;384.21;0.89;0.00;141.19;MotorCycle;;5;80.00
339.00;317371668#1_1;150.53;14.12;317.00;7.00;317371668#1_1;1.95;0.00;tripinfo_Auto_2386;22.00;Auto_2386;0;148.58;1.06;0.00;11.03;MotorCycle;;1;1.00
341.00;244327260#6_0;209.72;14.35;37.00;24.00;244329796#13_1;1.95;0.00;tripinfo_MotorCycle_108;304.00;MotorCycle_108;0;1539.77;1.06;0.00;198.93;MotorCycle;;3;102.00
345.00;-330925771#2_1;98.00;12.51;0.00;0.00;172932752#4_1;1.95;0.00;tripinfo_Car_2;345.00;Car_2;0;1945.35;1.01;0.00;203.91;MotorCycle;;9;93.00
345.00;173008341#6_1;117.82;11.68;50.00;0.00;330925771#2_1;3.70;0.00;tripinfo_Auto_379;295.00;Auto_379;0;1757.16;0.84;0.00;142.74;Car;;7;64.00
347.00;-37555829#0_1;633.17;15.39;2.00;0.00;166751738#1_1;2.70;0.00;tripinfo_Bus_28;345.00;Bus_28;0;1638.77;1.13;0.00;237.64;Auto;;3;163.00
348.00;-330925771#2_1;98.00;10.84;14.00;0.00;172932752#4_1;2.70;0.00;tripinfo_Bus_123;334.00;Bus_123;0;1944.60;1.02;0.00;195.56;Auto;;8;84.00
351.00;317371668#1_1;150.53;13.01;330.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Auto_2519;21.00;Auto_2519;0;148.58;0.96;0.00;9.64;MotorCycle;;0;0.00
